"timeframe","county","county_nf","start_date","end_date","PctUnemployed","Pct16andOverEmployed","PctUnemployed_m","Pct16andOverEmployed_m"
2000,"Loudoun County, VA",51107,"01JAN2000","31DEC2000",2.0,76,".","."
2000,"Prince William County, VA",51153,"01JAN2000","31DEC2000",3.0,75,".","."
2000,"Rappahannock County, VA",51157,"01JAN2000","31DEC2000",2.2,64,".","."
2000,"Spotsylvania County, VA",51177,"01JAN2000","31DEC2000",3.2,70,".","."
2000,"Stafford County, VA",51179,"01JAN2000","31DEC2000",3.0,74,".","."
2000,"Warren County, VA",51187,"01JAN2000","31DEC2000",3.4,64,".","."
2000,"Alexandria city, VA",51510,"01JAN2000","31DEC2000",3.2,72,".","."
2000,"Fairfax city, VA",51600,"01JAN2000","31DEC2000",2.4,68,".","."
2000,"Falls Church city, VA",51610,"01JAN2000","31DEC2000",2.9,71,".","."
2000,"Fredericksburg city, VA",51630,"01JAN2000","31DEC2000",9.4,61,".","."
2000,"Manassas city, VA",51683,"01JAN2000","31DEC2000",3.7,72,".","."
2000,"Manassas Park city, VA",51685,"01JAN2000","31DEC2000",2.2,75,".","."
2000,"Jefferson County, WV",54037,"01JAN2000","31DEC2000",4.5,65,".","."
1990,"District of Columbia, DC",11001,"01JAN1990","31DEC1990",7.2,62,".","."
1990,"Calvert County, MD",24009,"01JAN1990","31DEC1990",3.5,71,".","."
1990,"Charles County, MD",24017,"01JAN1990","31DEC1990",3.1,74,".","."
1990,"Frederick County, MD",24021,"01JAN1990","31DEC1990",2.8,72,".","."
1990,"Montgomery County, MD",24031,"01JAN1990","31DEC1990",2.7,73,".","."
1990,"Prince George's County, MD",24033,"01JAN1990","31DEC1990",4.3,74,".","."
1990,"Arlington County, VA",51013,"01JAN1990","31DEC1990",3.0,75,".","."
1990,"Clarke County, VA",51043,"01JAN1990","31DEC1990",2.4,64,".","."
1990,"Culpeper County, VA",51047,"01JAN1990","31DEC1990",4.2,65,".","."
1990,"Fairfax County, VA",51059,"01JAN1990","31DEC1990",2.5,76,".","."
1990,"Fauquier County, VA",51061,"01JAN1990","31DEC1990",2.7,72,".","."
1990,"Loudoun County, VA",51107,"01JAN1990","31DEC1990",2.1,78,".","."
1990,"Prince William County, VA",51153,"01JAN1990","31DEC1990",3.3,79,".","."
1990,"Rappahannock County, VA",51157,"01JAN1990","31DEC1990",4.0,64,".","."
1990,"Spotsylvania County, VA",51177,"01JAN1990","31DEC1990",3.8,72,".","."
1990,"Stafford County, VA",51179,"01JAN1990","31DEC1990",3.0,75,".","."
1990,"Warren County, VA",51187,"01JAN1990","31DEC1990",5.1,63,".","."
1990,"Alexandria city, VA",51510,"01JAN1990","31DEC1990",3.6,76,".","."
1990,"Fairfax city, VA",51600,"01JAN1990","31DEC1990",2.6,73,".","."
1990,"Falls Church city, VA",51610,"01JAN1990","31DEC1990",2.8,73,".","."
1990,"Fredericksburg city, VA",51630,"01JAN1990","31DEC1990",3.3,62,".","."
1990,"Manassas city, VA",51683,"01JAN1990","31DEC1990",3.4,77,".","."
1990,"Manassas Park city, VA",51685,"01JAN1990","31DEC1990",4.4,77,".","."
1990,"Jefferson County, WV",54037,"01JAN1990","31DEC1990",4.8,64,".","."

