"timeframe","Geo2010","geo2010_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client","ucounty"
"2012-16","DC Tract 19.01",11001001901,"01JAN2012","31DEC2016",11,18,19,100951,6.4,11,8.6,26806,"X","X","X","District of Columbia"
"2012-16","DC Tract 19.02",11001001902,"01JAN2012","31DEC2016",9.7,24,6.9,114090,7.9,18,6.0,22029,"X","X","X","District of Columbia"
"2012-16","DC Tract 20.01",11001002001,"01JAN2012","31DEC2016",9.9,6.0,17,130445,3.3,7.7,7.3,24260,"X","X","X","District of Columbia"
"2012-16","DC Tract 20.02",11001002002,"01JAN2012","31DEC2016",13,23,4.0,133680,7.1,13,5.3,39775,"X","X","X","District of Columbia"
"2012-16","DC Tract 21.01",11001002101,"01JAN2012","31DEC2016",8.5,6.4,11,83347,5.0,8.2,7.8,22271,"X","X","X","District of Columbia"
"2012-16","DC Tract 21.02",11001002102,"01JAN2012","31DEC2016",14,21,15,102578,4.3,13,8.1,20765,"X","X","X","District of Columbia"
"2012-16","DC Tract 22.01",11001002201,"01JAN2012","31DEC2016",8.5,0.0,17,133064,4.4,6.9,16,35086,"X","X","X","District of Columbia"
"2012-16","DC Tract 22.02",11001002202,"01JAN2012","31DEC2016",21,24,19,82055,12,11,13,21381,"X","X","X","District of Columbia"
"2012-16","DC Tract 23.01",11001002301,"01JAN2012","31DEC2016",9.0,11,5.2,137843,4.5,8.3,6.9,34471,"X","X","X","District of Columbia"
"2012-16","DC Tract 23.02",11001002302,"01JAN2012","31DEC2016",23,0.0,20,111481,12,54,14,54331,"X","X","X","District of Columbia"
"2012-16","DC Tract 24",11001002400,"01JAN2012","31DEC2016",8.8,4.1,10.0,117342,4.1,8.2,8.2,25790,"X","X","X","District of Columbia"
"2012-16","DC Tract 25.01",11001002501,"01JAN2012","31DEC2016",19,19,54,139305,6.2,12,18,44159,"X","X","X","District of Columbia"
"2012-16","DC Tract 25.02",11001002502,"01JAN2012","31DEC2016",12,11,11,132476,5.5,11,9.5,60881,"X","X","X","District of Columbia"
"2012-16","DC Tract 26",11001002600,"01JAN2012","31DEC2016",3.4,1.4,5.9,212196,2.1,8.5,5.4,32865,"X","X","X","District of Columbia"
"2012-16","DC Tract 27.01",11001002701,"01JAN2012","31DEC2016",17,29,26,108174,10,18,25,34394,"X","X","X","District of Columbia"
"2012-16","DC Tract 27.02",11001002702,"01JAN2012","31DEC2016",10,6.5,5.7,155200,3.7,11,11,39775,"X","X","X","District of Columbia"
"2012-16","DC Tract 28.01",11001002801,"01JAN2012","31DEC2016",20,32,36,49477,7.4,15,23,14524,"X","X","X","District of Columbia"
"2012-16","DC Tract 28.02",11001002802,"01JAN2012","31DEC2016",24,44,33,59275,8.6,16,15,16881,"X","X","X","District of Columbia"
"2012-16","DC Tract 29",11001002900,"01JAN2012","31DEC2016",7.3,13,3.3,111867,3.0,10,11,29022,"X","X","X","District of Columbia"
"2012-16","DC Tract 30",11001003000,"01JAN2012","31DEC2016",24,49,23,90916,7.2,18,14,26147,"X","X","X","District of Columbia"
"2012-16","DC Tract 31",11001003100,"01JAN2012","31DEC2016",12,32,23,145053,6.5,16,17,68574,"X","X","X","District of Columbia"
"2012-16","DC Tract 32",11001003200,"01JAN2012","31DEC2016",14,18,9.5,114226,6.8,14,7.9,31041,"X","X","X","District of Columbia"
"2012-16","DC Tract 33.01",11001003301,"01JAN2012","31DEC2016",7.4,0.0,3.9,149157,4.0,11,7.1,46514,"X","X","X","District of Columbia"
"2012-16","DC Tract 33.02",11001003302,"01JAN2012","31DEC2016",12,16,31,155633,5.9,29,18,46933,"X","X","X","District of Columbia"
"2012-16","DC Tract 34",11001003400,"01JAN2012","31DEC2016",19,20,19,99568,6.9,19,18,43470,"X","X","X","District of Columbia"
"2012-16","DC Tract 35",11001003500,"01JAN2012","31DEC2016",23,56,36,97842,8.9,26,15,29996,"X","X","X","District of Columbia"
"2012-16","DC Tract 36",11001003600,"01JAN2012","31DEC2016",14,17,25,106207,5.1,16,23,41980,"X","X","X","District of Columbia"
"2012-16","DC Tract 37",11001003700,"01JAN2012","31DEC2016",16,33,24,80840,5.4,13,11,27508,"X","X","X","District of Columbia"
"2012-16","DC Tract 38",11001003800,"01JAN2012","31DEC2016",9.4,0.0,3.7,212138,3.0,13,9.1,89376,"X","X","X","District of Columbia"
"2012-16","DC Tract 39",11001003900,"01JAN2012","31DEC2016",9.8,0.0,11,175665,4.9,26,15,55947,"X","X","X","District of Columbia"
"2012-16","DC Tract 40.01",11001004001,"01JAN2012","31DEC2016",3.6,0.0,0.0,251973,2.0,12,5.8,85953,"X","X","X","District of Columbia"
"2012-16","DC Tract 40.02",11001004002,"01JAN2012","31DEC2016",4.3,0.0,11,168129,1.7,19,12,56553,"X","X","X","District of Columbia"
"2012-16","DC Tract 41",11001004100,"01JAN2012","31DEC2016",6.3,1.9,4.0,302202,2.9,13,4.3,87453,"X","X","X","District of Columbia"
"2012-16","DC Tract 42.01",11001004201,"01JAN2012","31DEC2016",4.3,0.0,12,188656,2.7,30,21,104273,"X","X","X","District of Columbia"
"2012-16","DC Tract 42.02",11001004202,"01JAN2012","31DEC2016",7.5,0.0,0.9,212626,2.6,46,9.5,102623,"X","X","X","District of Columbia"
"2012-16","DC Tract 43",11001004300,"01JAN2012","31DEC2016",10,27,23,157940,4.4,15,20,51734,"X","X","X","District of Columbia"
"2012-16","DC Tract 44",11001004400,"01JAN2012","31DEC2016",14,32,39,236198,6.6,25,16,69512,"X","X","X","District of Columbia"
"2012-16","DC Tract 46",11001004600,"01JAN2012","31DEC2016",15,39,3.4,145316,6.9,18,11,56060,"X","X","X","District of Columbia"
"2012-16","DC Tract 47.01",11001004701,"01JAN2012","31DEC2016",24,22,19,68559,12,17,16,29413,"X","X","X","District of Columbia"
"2012-16","DC Tract 47.02",11001004702,"01JAN2012","31DEC2016",14,29,13,144759,5.5,23,35,38407,"X","X","X","District of Columbia"
"2012-16","DC Tract 48.01",11001004801,"01JAN2012","31DEC2016",10,0.0,31,132577,5.0,16,13,51651,"X","X","X","District of Columbia"
"2012-16","DC Tract 48.02",11001004802,"01JAN2012","31DEC2016",23,40,41,91704,7.8,17,21,33821,"X","X","X","District of Columbia"
"2012-16","DC Tract 49.01",11001004901,"01JAN2012","31DEC2016",18,33,18,92650,7.6,16,19,26319,"X","X","X","District of Columbia"
"2012-16","DC Tract 49.02",11001004902,"01JAN2012","31DEC2016",16,17,33,122491,6.8,18,36,36280,"X","X","X","District of Columbia"
"2012-16","DC Tract 50.01",11001005001,"01JAN2012","31DEC2016",9.3,0.0,20,155440,8.2,25,21,46514,"X","X","X","District of Columbia"
"2012-16","DC Tract 50.02",11001005002,"01JAN2012","31DEC2016",12,0.0,50,141633,2.7,13,17,55869,"X","X","X","District of Columbia"
"2012-16","DC Tract 52.01",11001005201,"01JAN2012","31DEC2016",8.5,0.0,18,213560,3.1,41,24,102238,"X","X","X","District of Columbia"
"2012-16","DC Tract 53.01",11001005301,"01JAN2012","31DEC2016",9.4,0.0,3.3,159667,3.5,13,8.6,50638,"X","X","X","District of Columbia"
"2012-16","DC Tract 55",11001005500,"01JAN2012","31DEC2016",19,24,6.5,206431,6.2,39,10,86537,"X","X","X","District of Columbia"
"2012-16","DC Tract 56",11001005600,"01JAN2012","31DEC2016",25,0.0,21,226436,6.2,37,16,96484,"X","X","X","District of Columbia"
"2012-16","DC Tract 58",11001005800,"01JAN2012","31DEC2016",15,16,21,236515,9.4,35,18,81728,"X","X","X","District of Columbia"
"2012-16","DC Tract 59",11001005900,"01JAN2012","31DEC2016",17,0.0,40,239080,4.3,88,30,164703,"X","X","X","District of Columbia"
"2012-16","DC Tract 64",11001006400,"01JAN2012","31DEC2016",45,63,35,50896,9.9,14,17,18570,"X","X","X","District of Columbia"
"2012-16","DC Tract 65",11001006500,"01JAN2012","31DEC2016",12,3.6,3.6,245046,7.5,14,11,70813,"X","X","X","District of Columbia"
"2012-16","DC Tract 66",11001006600,"01JAN2012","31DEC2016",3.5,0.0,13,305451,2.7,13,9.3,103427,"X","X","X","District of Columbia"
"2012-16","DC Tract 67",11001006700,"01JAN2012","31DEC2016",4.9,0.0,6.9,237879,2.2,9.0,7.8,44484,"X","X","X","District of Columbia"
"2012-16","DC Tract 68.01",11001006801,"01JAN2012","31DEC2016",10,0.0,7.0,130400,3.0,25,11,33798,"X","X","X","District of Columbia"
"2012-16","DC Tract 68.02",11001006802,"01JAN2012","31DEC2016",9.3,8.5,4.7,175355,5.6,12,8.6,33794,"X","X","X","District of Columbia"
"2012-16","DC Tract 68.04",11001006804,"01JAN2012","31DEC2016",59,0.0,67,".",44,112,73,".","X","X","X","District of Columbia"
"2012-16","DC Tract 69",11001006900,"01JAN2012","31DEC2016",4.0,0.0,12,200346,2.4,14,13,67323,"X","X","X","District of Columbia"
"2012-16","DC Tract 70",11001007000,"01JAN2012","31DEC2016",4.6,0.0,8.2,226543,2.5,14,11,68715,"X","X","X","District of Columbia"
"2012-16","DC Tract 71",11001007100,"01JAN2012","31DEC2016",36,50,19,116356,14,16,16,35278,"X","X","X","District of Columbia"
"2012-16","DC Tract 72",11001007200,"01JAN2012","31DEC2016",12,18,32,128257,4.2,20,14,36362,"X","X","X","District of Columbia"
"2012-16","DC Tract 73.01",11001007301,"01JAN2012","31DEC2016",3.6,3.7,0.0,101159,2.5,3.2,120,18105,"X","X","X","District of Columbia"
"2012-16","DC Tract 73.04",11001007304,"01JAN2012","31DEC2016",37,55,14,49094,10,14,13,13511,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.01",11001007401,"01JAN2012","31DEC2016",63,71,35,21974,7.9,6.7,20,6045,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.03",11001007403,"01JAN2012","31DEC2016",41,45,42,34534,13,9.7,26,8908,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.04",11001007404,"01JAN2012","31DEC2016",37,58,20,61807,17,14,15,27919,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.06",11001007406,"01JAN2012","31DEC2016",44,51,19,33655,12,13,27,11309,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.07",11001007407,"01JAN2012","31DEC2016",24,34,19,95412,6.8,13,17,62510,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.08",11001007408,"01JAN2012","31DEC2016",53,77,26,29889,13,11,27,9273,"X","X","X","District of Columbia"
"2012-16","DC Tract 74.09",11001007409,"01JAN2012","31DEC2016",31,43,24,39790,12,14,20,9125,"X","X","X","District of Columbia"
"2012-16","DC Tract 75.02",11001007502,"01JAN2012","31DEC2016",49,65,51,41827,7.7,8.9,17,12706,"X","X","X","District of Columbia"
"2012-16","DC Tract 75.03",11001007503,"01JAN2012","31DEC2016",46,60,25,47497,12,12,17,12727,"X","X","X","District of Columbia"
"2012-16","DC Tract 75.04",11001007504,"01JAN2012","31DEC2016",43,59,38,56421,11,13,22,25829,"X","X","X","District of Columbia"
"2012-16","DC Tract 76.01",11001007601,"01JAN2012","31DEC2016",21,28,24,65178,6.9,12,13,20213,"X","X","X","District of Columbia"
"2012-16","DC Tract 76.03",11001007603,"01JAN2012","31DEC2016",27,49,19,76945,15,16,19,35100,"X","X","X","District of Columbia"
"2012-16","DC Tract 76.04",11001007604,"01JAN2012","31DEC2016",26,56,23,78366,8.2,20,13,23255,"X","X","X","District of Columbia"
"2012-16","DC Tract 76.05",11001007605,"01JAN2012","31DEC2016",31,43,24,55373,6.7,13,14,14461,"X","X","X","District of Columbia"
"2012-16","DC Tract 77.03",11001007703,"01JAN2012","31DEC2016",42,45,49,41157,13,13,18,19755,"X","X","X","District of Columbia"
"2012-16","DC Tract 77.07",11001007707,"01JAN2012","31DEC2016",35,54,14,53733,14,14,6.9,11767,"X","X","X","District of Columbia"
"2012-16","DC Tract 77.08",11001007708,"01JAN2012","31DEC2016",30,43,1.0,47740,12,18,7.2,13077,"X","X","X","District of Columbia"
"2012-16","DC Tract 77.09",11001007709,"01JAN2012","31DEC2016",28,33,33,53882,7.7,13,15,16884,"X","X","X","District of Columbia"
"2012-16","DC Tract 78.03",11001007803,"01JAN2012","31DEC2016",23,46,10,66486,9.1,19,6.5,21193,"X","X","X","District of Columbia"
"2012-16","DC Tract 78.04",11001007804,"01JAN2012","31DEC2016",32,59,21,61772,10,20,12,19045,"X","X","X","District of Columbia"
"2012-16","DC Tract 78.06",11001007806,"01JAN2012","31DEC2016",30,39,14,49416,9.4,16,7.1,16441,"X","X","X","District of Columbia"
"2012-16","DC Tract 78.07",11001007807,"01JAN2012","31DEC2016",15,19,12,71070,4.9,11,14,30907,"X","X","X","District of Columbia"
"2012-16","DC Tract 78.08",11001007808,"01JAN2012","31DEC2016",27,30,28,69232,13,14,14,23308,"X","X","X","District of Columbia"
"2012-16","DC Tract 78.09",11001007809,"01JAN2012","31DEC2016",27,49,17,53181,11,12,13,16107,"X","X","X","District of Columbia"
"2012-16","DC Tract 79.01",11001007901,"01JAN2012","31DEC2016",22,24,22,83027,6.7,11,15,22069,"X","X","X","District of Columbia"
"2012-16","DC Tract 79.03",11001007903,"01JAN2012","31DEC2016",19,27,15,88676,10,15,10,23094,"X","X","X","District of Columbia"
"2012-16","DC Tract 80.01",11001008001,"01JAN2012","31DEC2016",6.3,1.4,20,165005,3.1,7.3,15,44827,"X","X","X","District of Columbia"
"2012-16","DC Tract 80.02",11001008002,"01JAN2012","31DEC2016",5.8,1.9,0.0,173199,3.3,8.2,8.2,38667,"X","X","X","District of Columbia"
"2012-16","DC Tract 81",11001008100,"01JAN2012","31DEC2016",2.3,0.0,3.1,242501,1.7,8.3,7.8,52567,"X","X","X","District of Columbia"
"2012-16","DC Tract 82",11001008200,"01JAN2012","31DEC2016",7.2,0.0,0.0,240356,6.1,13,10,62144,"X","X","X","District of Columbia"
"2012-16","DC Tract 83.01",11001008301,"01JAN2012","31DEC2016",4.3,0.0,0.0,176672,2.0,16,16,50382,"X","X","X","District of Columbia"
"2012-16","DC Tract 83.02",11001008302,"01JAN2012","31DEC2016",4.9,0.0,2.6,196831,2.1,12,12,43217,"X","X","X","District of Columbia"
"2012-16","DC Tract 84.02",11001008402,"01JAN2012","31DEC2016",12,6.8,40,147792,4.9,28,18,50481,"X","X","X","District of Columbia"
"2012-16","DC Tract 84.10",11001008410,"01JAN2012","31DEC2016",7.4,0.0,18,167648,3.7,30,24,64556,"X","X","X","District of Columbia"
"2012-16","DC Tract 87.01",11001008701,"01JAN2012","31DEC2016",11,9.0,3.9,141778,5.2,20,11,51020,"X","X","X","District of Columbia"
"2012-16","DC Tract 87.02",11001008702,"01JAN2012","31DEC2016",26,37,25,106668,6.7,17,8.7,43656,"X","X","X","District of Columbia"
"2012-16","DC Tract 88.02",11001008802,"01JAN2012","31DEC2016",21,30,11,94327,7.1,16,5.3,28293,"X","X","X","District of Columbia"
"2012-16","DC Tract 88.03",11001008803,"01JAN2012","31DEC2016",52,65,53,37845,19,13,43,20058,"X","X","X","District of Columbia"
"2012-16","DC Tract 88.04",11001008804,"01JAN2012","31DEC2016",27,21,19,48578,8.7,18,13,18106,"X","X","X","District of Columbia"
"2012-16","DC Tract 89.03",11001008903,"01JAN2012","31DEC2016",27,46,4.6,39688,10,15,7.4,13590,"X","X","X","District of Columbia"
"2012-16","DC Tract 89.04",11001008904,"01JAN2012","31DEC2016",26,4.9,42,63096,4.9,7.1,20,23055,"X","X","X","District of Columbia"
"2012-16","DC Tract 90",11001009000,"01JAN2012","31DEC2016",19,5.1,37,95445,5.0,9.7,10,30003,"X","X","X","District of Columbia"
"2012-16","DC Tract 91.02",11001009102,"01JAN2012","31DEC2016",30,43,20,67365,8.9,11,12,17053,"X","X","X","District of Columbia"
"2012-16","DC Tract 92.01",11001009201,"01JAN2012","31DEC2016",20,11,17,133102,7.9,8.1,15,46942,"X","X","X","District of Columbia"
"2012-16","DC Tract 92.03",11001009203,"01JAN2012","31DEC2016",12,8.7,11,106078,6.1,8.6,10,30046,"X","X","X","District of Columbia"
"2012-16","DC Tract 92.04",11001009204,"01JAN2012","31DEC2016",36,52,29,44254,7.8,14,12,12401,"X","X","X","District of Columbia"
"2012-16","DC Tract 93.01",11001009301,"01JAN2012","31DEC2016",8.0,0.0,23,135199,4.5,6.3,23,38248,"X","X","X","District of Columbia"
"2012-16","DC Tract 93.02",11001009302,"01JAN2012","31DEC2016",9.2,0.0,19,114314,5.1,42,22,50310,"X","X","X","District of Columbia"
"2012-16","DC Tract 94",11001009400,"01JAN2012","31DEC2016",11,0.9,8.9,118092,5.0,5.5,4.8,21202,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.01",11001009501,"01JAN2012","31DEC2016",18,16,17,57257,6.1,7.8,13,11690,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.03",11001009503,"01JAN2012","31DEC2016",5.7,3.7,7.0,116625,3.2,6.7,5.3,22906,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.04",11001009504,"01JAN2012","31DEC2016",8.2,0.0,14,129167,4.0,10,12,42913,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.05",11001009505,"01JAN2012","31DEC2016",10,5.1,12,115730,4.1,8.6,10,41170,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.07",11001009507,"01JAN2012","31DEC2016",15,26,15,94768,9.2,16,11,28384,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.08",11001009508,"01JAN2012","31DEC2016",11,2.9,14,101959,3.2,8.0,11,41809,"X","X","X","District of Columbia"
"2012-16","DC Tract 95.09",11001009509,"01JAN2012","31DEC2016",3.7,0.0,11,101413,2.0,5.3,7.4,29881,"X","X","X","District of Columbia"
"2012-16","DC Tract 96.01",11001009601,"01JAN2012","31DEC2016",43,66,16,47764,12,14,9.4,10909,"X","X","X","District of Columbia"
"2012-16","DC Tract 96.02",11001009602,"01JAN2012","31DEC2016",43,51,33,29439,11,19,17,9343,"X","X","X","District of Columbia"
"2012-16","DC Tract 96.03",11001009603,"01JAN2012","31DEC2016",14,3.2,12,63919,4.4,6.8,8.3,24155,"X","X","X","District of Columbia"
"2012-16","DC Tract 96.04",11001009604,"01JAN2012","31DEC2016",12,0.0,16,74975,4.7,14,8.6,25819,"X","X","X","District of Columbia"
"2012-16","DC Tract 97",11001009700,"01JAN2012","31DEC2016",36,48,25,52602,13,15,17,15420,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.01",11001009801,"01JAN2012","31DEC2016",44,62,31,42203,12,12,16,13323,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.02",11001009802,"01JAN2012","31DEC2016",45,68,9.6,44994,10,10,15,10652,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.03",11001009803,"01JAN2012","31DEC2016",49,61,39,37234,9.9,11,12,13509,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.04",11001009804,"01JAN2012","31DEC2016",34,46,15,53975,9.6,12,14,12153,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.07",11001009807,"01JAN2012","31DEC2016",25,49,18,89778,10,18,12,51185,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.10",11001009810,"01JAN2012","31DEC2016",41,47,22,38470,14,17,23,17331,"X","X","X","District of Columbia"
"2012-16","DC Tract 98.11",11001009811,"01JAN2012","31DEC2016",35,46,31,35895,8.3,10,14,8723,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.01",11001009901,"01JAN2012","31DEC2016",9.2,0.0,15,137637,5.5,9.3,8.0,35738,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.02",11001009902,"01JAN2012","31DEC2016",14,13,13,72592,8.3,14,11,23343,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.03",11001009903,"01JAN2012","31DEC2016",20,32,11,77594,9.9,14,12,22531,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.04",11001009904,"01JAN2012","31DEC2016",35,48,37,52940,10,13,23,15488,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.05",11001009905,"01JAN2012","31DEC2016",25,41,9.7,78783,9.0,12,13,36033,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.06",11001009906,"01JAN2012","31DEC2016",25,39,9.2,45362,8.4,17,10,12869,"X","X","X","District of Columbia"
"2012-16","DC Tract 99.07",11001009907,"01JAN2012","31DEC2016",35,48,12,37752,11,17,13,11410,"X","X","X","District of Columbia"
"2012-16","DC Tract 101",11001010100,"01JAN2012","31DEC2016",15,0.0,17,164884,6.4,31,18,100652,"X","X","X","District of Columbia"
"2012-16","DC Tract 102",11001010200,"01JAN2012","31DEC2016",6.0,18,3.4,151559,4.2,21,9.2,51322,"X","X","X","District of Columbia"
"2012-16","DC Tract 103",11001010300,"01JAN2012","31DEC2016",21,34,8.5,83749,9.0,19,9.2,24070,"X","X","X","District of Columbia"
"2012-16","DC Tract 104",11001010400,"01JAN2012","31DEC2016",29,35,32,61392,11,12,18,18618,"X","X","X","District of Columbia"
"2012-16","DC Tract 105",11001010500,"01JAN2012","31DEC2016",17,37,27,132386,5.9,10,23,57818,"X","X","X","District of Columbia"
"2012-16","DC Tract 106",11001010600,"01JAN2012","31DEC2016",15,21,27,165306,4.1,17,22,44506,"X","X","X","District of Columbia"
"2012-16","DC Tract 107",11001010700,"01JAN2012","31DEC2016",20,0.0,1.3,160181,6.6,416,14,128324,"X","X","X","District of Columbia"
"2012-16","DC Tract 108",11001010800,"01JAN2012","31DEC2016",50,"i",1.6,110027,12,".",47,153127,"X","X","X","District of Columbia"
"2012-16","DC Tract 109",11001010900,"01JAN2012","31DEC2016",47,49,9.7,40888,16,12,15,14912,"X","X","X","District of Columbia"
"2012-16","DC Tract 110",11001011000,"01JAN2012","31DEC2016",6.3,0.0,1.8,157102,3.4,26,3.5,73491,"X","X","X","District of Columbia"
"2012-16","DC Tract 111",11001011100,"01JAN2012","31DEC2016",18,4.5,18,97179,5.8,6.1,11,21768,"X","X","X","District of Columbia"
"2012-16","MD Tract 009 8601.01",24009860101,"01JAN2012","31DEC2016",6.0,14,9.8,139642,5.5,14,9.1,21029,"X","X","X","Calvert"
"2012-16","MD Tract 009 8601.02",24009860102,"01JAN2012","31DEC2016",3.4,0.0,4.8,128337,2.7,8.3,6.9,24435,"X","X","X","Calvert"
"2012-16","MD Tract 009 8602",24009860200,"01JAN2012","31DEC2016",2.8,1.4,5.7,149187,1.5,3.6,4.8,18442,"X","X","X","Calvert"
"2012-16","MD Tract 009 8603",24009860300,"01JAN2012","31DEC2016",2.4,0.5,9.7,146720,1.7,3.8,8.2,16714,"X","X","X","Calvert"
"2012-16","MD Tract 009 8604.01",24009860401,"01JAN2012","31DEC2016",8.5,11,13,119826,3.1,5.1,6.5,19342,"X","X","X","Calvert"
"2012-16","MD Tract 009 8604.02",24009860402,"01JAN2012","31DEC2016",7.5,10,0.0,90097,4.5,7.5,9.8,17508,"X","X","X","Calvert"
"2012-16","MD Tract 009 8605.01",24009860501,"01JAN2012","31DEC2016",2.3,1.6,6.2,149793,1.3,3.4,6.3,21742,"X","X","X","Calvert"
